{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
801,25,29434,E.P,0
802,12,29446,Other,0
803,12,29458,E.P,0
804,46,29504,Other,0
805,28,29532,E.P,0
806,42,29574,Other,0
807,57,29631,E.P,0
808,54,29685,Other,0
809,73,29758,E.P,0
810,78,29836,Other,0
811,49,29885,Other,0
812,7,29892,Other,0
813,9,29901,Other,0
814,17,29918,Other,0
815,53,29971,Other,0
816,29,30000,Other,0
817,28,30028,Other,0
818,51,30079,Other,0
819,73,30152,Other,0
820,11,30163,Other,0
821,102,30265,Other,0
822,41,30306,Other,0
823,29,30335,Other,0
824,34,30369,Other,0
825,19,30388,E.P,0
826,27,30415,Other,0
827,70,30485,E.P,0
828,35,30520,E.P,0
829,29,30549,Other,0
830,13,30562,Other,0
831,55,30617,Other,0
832,29,30646,Other,0
833,46,30692,E.P,0
834,12,30704,Other,0
835,22,30726,E.P,0
836,45,30771,Other,0
837,17,30788,E.P,0
838,32,30820,Other,0
839,32,30852,E.P,0
840,18,30870,Other,0
841,65,30935,Other,0
842,47,30982,Other,0
843,41,31023,Other,0
844,54,31077,E.P,0
845,12,31089,Other,0
846,28,31117,E.P,0
847,15,31132,Other,0
848,59,31191,Other,0
849,11,31202,Other,0
850,41,31243,E.P,0
851,32,31275,Other,0
852,38,31313,Other,0
853,32,31345,Other,0
854,59,31404,Other,0
855,14,31418,Other,0
856,26,31444,Other,0
857,16,31460,Other,0
858,46,31506,Other,0
859,31,31537,Other,0
860,87,31624,E.P,0
861,55,31679,E.P,0
862,54,31733,Other,0
863,22,31755,Other,0
864,8,31763,Other,0
865,27,31790,Other,0
866,19,31809,Other,0
867,10,31819,Other,0
868,12,31831,Other,0
869,31,31862,Other,0
870,10,31872,Other,0
871,22,31894,Other,0
872,86,31980,E.P,0
873,18,31998,Other,0
874,13,32011,Other,0
875,20,32031,Other,0
876,53,32084,Other,0
877,35,32119,E.P,0
878,18,32137,E.P,0
879,22,32159,E.P,0
880,34,32193,E.P,0
881,36,32229,E.P,0
882,75,32304,E.P,0
883,27,32331,E.P,0
884,24,32355,Other,0
885,54,32409,E.P,0
886,39,32448,Other,0
887,41,32489,E.P,0
888,56,32545,Other,0
889,37,32582,E.P,0
890,61,32643,Other,0
891,33,32676,E.P,0
892,77,32753,Other,0
893,94,32847,Other,0
894,25,32872,E.P,0
895,29,32901,Other,0
896,18,32919,E.P,0
897,22,32941,Other,0
898,38,32979,E.P,0
899,70,33049,E.P,0
900,25,33074,E.P,0
901,47,33121,Other,0
902,32,33153,Other,0
903,28,33181,E.P,0
904,27,33208,E.P,0
905,17,33225,E.P,0
906,31,33256,Other,0
907,26,33282,E.P,0
908,29,33311,E.P,0
909,45,33356,Other,0
910,23,33379,Other,0
911,41,33420,Other,0
912,16,33436,E.P,0
913,28,33464,E.P,0
914,46,33510,E.P,0
915,23,33533,Other,0
916,15,33548,E.P,0
917,27,33575,Other,0
918,27,33602,E.P,0
919,37,33639,Other,0
920,38,33677,E.P,0
921,17,33694,Other,0
922,31,33725,E.P,0
923,36,33761,E.P,0
924,22,33783,E.P,0
925,12,33795,E.P,0
926,102,33897,E.P,0
927,111,34008,E.P,0
928,12,34020,Other,0
929,20,34040,E.P,0
930,18,34058,Other,0
931,117,34175,E.P,0
932,50,34225,Other,0
933,17,34242,Other,0
934,18,34260,Other,0
935,31,34291,Other,0
936,25,34316,E.P,0
937,19,34335,Other,0
938,24,34359,Other,0
939,62,34421,Other,0
940,21,34442,E.P,0
941,37,34479,Other,0
942,16,34495,E.P,0
943,46,34541,Other,0
944,9,34550,E.P,0
945,9,34559,Other,0
946,17,34576,Other,0
947,24,34600,E.P,0
948,7,34607,E.P,0
949,33,34640,E.P,0
950,42,34682,Other,0
951,36,34718,E.P,0
952,14,34732,Other,0
953,37,34769,Other,0
954,42,34811,E.P,0
955,21,34832,Other,0
956,22,34854,E.P,0
957,64,34918,Other,0
958,22,34940,E.P,0
959,11,34951,E.P,0
960,11,34962,Other,0
961,16,34978,E.P,0
962,20,34998,Other,0
963,31,35029,E.P,0
964,40,35069,E.P,0
965,22,35091,E.P,0
966,34,35125,E.P,0
967,30,35155,E.P,0
968,57,35212,E.P,0
969,17,35229,E.P,0
970,22,35251,E.P,0
971,23,35274,E.P,0
972,26,35300,E.P,0
973,16,35316,E.P,0
974,91,35407,E.P,0
975,38,35445,E.P,0
976,26,35471,E.P,0
977,22,35493,E.P,0
978,16,35509,E.P,0
979,11,35520,E.P,0
980,21,35541,E.P,0
981,16,35557,E.P,0
982,27,35584,Other,0
983,13,35597,E.P,0
984,37,35634,Other,0
985,16,35650,E.P,0
986,8,35658,E.P,0
987,18,35676,E.P,0
988,13,35689,Other,0
989,8,35697,E.P,0
990,4,35701,E.P,0
991,15,35716,Other,0
992,5,35721,Other,0
993,6,35727,Other,0
994,8,35735,Other,0
995,11,35746,Other,0
996,33,35779,E.P,0
997,20,35799,Other,0
998,18,35817,E.P,0
999,15,35832,Other,0
1000,17,35849,E.P,0
1001,39,35888,E.P,0
1002,39,35927,Other,0
1003,66,35993,E.P,0
1004,29,36022,Other,0
1005,23,36045,E.P,0
1006,28,36073,Other,0
1007,5,36078,Other,0
1008,47,36125,E.P,0
1009,35,36160,Other,0
1010,21,36181,E.P,0
1011,12,36193,E.P,0
1012,21,36214,Other,0
1013,36,36250,E.P,0
1014,9,36259,Other,0
1015,14,36273,Other,0
1016,21,36294,Other,0
1017,33,36327,E.P,0
1018,78,36405,Other,0
1019,11,36416,E.P,0
1020,20,36436,Other,0
1021,41,36477,Other,0
1022,124,36601,Other,0
1023,32,36633,Other,0
1024,42,36675,Other,0
1025,77,36752,Other,0
1026,34,36786,Other,0
1027,33,36819,Other,0
1028,51,36870,Other,0
1029,21,36891,Other,0
1030,32,36923,Other,0
1031,22,36945,Other,0
1032,46,36991,Other,0
1033,58,37049,Other,0
1034,23,37072,Other,0
1035,10,37082,Other,0
1036,18,37100,Other,0
1037,107,37207,Other,0
1038,44,37251,Other,0
1039,57,37308,Other,0
1040,278,37586,Other,0
1041,59,37645,Other,0
1042,95,37740,Other,0
1043,66,37806,Other,0
1044,25,37831,Other,0
1045,71,37902,Other,0
1046,30,37932,Other,0
1047,27,37959,Other,0
1048,21,37980,Other,0
1049,20,38000,Other,0
1050,10,38010,Other,0
1051,8,38018,Other,0
1052,26,38044,Other,0
1053,27,38071,Other,0
1054,122,38193,Other,0
1055,58,38251,Other,0
1056,21,38272,Other,0
1057,35,38307,Other,0
1058,15,38322,Other,0
1059,22,38344,Other,0
1060,21,38365,Other,0
1061,8,38373,Other,0
1062,16,38389,Other,0
1063,169,38558,Other,0
1064,43,38601,Other,0
1065,37,38638,Other,0
1066,111,38749,Other,0
1067,36,38785,Other,0
1068,67,38852,Other,0
1069,32,38884,Other,0
1070,19,38903,E.P,0
1071,5,38908,E.P,0
1072,16,38924,Other,0
1073,23,38947,E.P,0
1074,36,38983,Other,0
1075,44,39027,Other,0
1076,20,39047,Other,0
1077,5,39052,Other,0
1078,8,39060,Other,0
1079,10,39070,Other,0
1080,6,39076,Other,0
1081,35,39111,Other,0
1082,28,39139,Other,0
1083,34,39173,Other,0
1084,11,39184,Other,0
1085,37,39221,Other,0
1086,52,39273,Other,0
1087,27,39300,Other,0
1088,68,39368,Other,0
1089,7,39375,Other,0
1090,10,39385,Other,0
1091,11,39396,Other,0
1092,11,39407,Other,0
1093,7,39414,Other,0
1094,42,39456,Other,0
1095,10,39466,Other,0
1096,9,39475,Other,0
1097,11,39486,Other,0
1098,6,39492,Other,0
1099,33,39525,Other,0
1100,4,39529,Other,0
1101,43,39572,Other,0
1102,7,39579,Other,0
1103,10,39589,Other,0
1104,31,39620,Other,0
1105,10,39630,Other,0
1106,21,39651,Other,0
1107,7,39658,Other,0
1108,16,39674,Other,0
1109,12,39686,Other,0
1110,5,39691,Other,0
1111,9,39700,Other,0
1112,7,39707,Other,0
1113,12,39719,Other,0
1114,8,39727,Other,0
1115,16,39743,Other,0
1116,10,39753,Other,0
1117,10,39763,Other,0
